timestamp,ideal,receve_data,kalman_filter
1,0,-41.34765,-41.3476
2,3,-10.56936,-10.6698
3,8,-0.09996,-0.168477
4,15,6.33969,6.26916
5,24,45.89824,45.7433
6,35,45.62117,45.5666
7,48,44.61856,44.5735
8,63,51.14404,51.0946
9,80,60.73781,60.7003
10,99,86.47371,86.4235
11,120,131.77911,131.716
12,143,118.70147,118.8
13,168,198.3733,198.291
14,195,243.21885,243.258
15,224,223.93135,224.142
16,255,261.76944,261.87
17,288,295.08487,295.227
18,323,304.72116,304.943
19,360,347.15858,347.331
20,399,390.1038,390.306
21,440,445.32955,445.537
22,483,502.8035,503.04
23,528,544.69698,545.002
24,575,553.10905,553.517
25,624,619.93109,620.231
26,675,679.36774,679.72
27,728,691.80668,692.296
28,783,775.08624,775.441
29,840,819.29884,819.78
30,899,877.79287,878.271
31,960,979.42744,979.842
32,1023,1056.82776,1057.34
33,1088,1073.63762,1074.32
34,1155,1145.40761,1145.99
35,1224,1212.50599,1213.13
36,1295,1308.97609,1309.56
37,1368,1343.82864,1344.59
38,1443,1447.64044,1448.27
39,1520,1513.31818,1514.07
40,1599,1633.95831,1634.61
41,1680,1702.98397,1703.79
42,1763,1746.72186,1747.61
43,1848,1868.41031,1869.14
44,1935,1910.65399,1911.6
45,2024,2030.43845,2031.22
46,2115,2135.39993,2136.24
